Date,Start of Year,Start of Quarter,Start of Month
1/1/12,1/1/12,1/1/12,1/1/12
1/2/12,1/1/12,1/1/12,1/1/12
1/3/12,1/1/12,1/1/12,1/1/12
1/4/12,1/1/12,1/1/12,1/1/12
1/5/12,1/1/12,1/1/12,1/1/12
1/6/12,1/1/12,1/1/12,1/1/12
1/7/12,1/1/12,1/1/12,1/1/12
1/8/12,1/1/12,1/1/12,1/1/12
1/9/12,1/1/12,1/1/12,1/1/12
1/10/12,1/1/12,1/1/12,1/1/12
1/11/12,1/1/12,1/1/12,1/1/12
1/12/12,1/1/12,1/1/12,1/1/12
1/13/12,1/1/12,1/1/12,1/1/12
1/14/12,1/1/12,1/1/12,1/1/12
1/15/12,1/1/12,1/1/12,1/1/12
1/16/12,1/1/12,1/1/12,1/1/12
1/17/12,1/1/12,1/1/12,1/1/12
1/18/12,1/1/12,1/1/12,1/1/12
1/19/12,1/1/12,1/1/12,1/1/12
1/20/12,1/1/12,1/1/12,1/1/12
1/21/12,1/1/12,1/1/12,1/1/12
1/22/12,1/1/12,1/1/12,1/1/12
1/23/12,1/1/12,1/1/12,1/1/12
1/24/12,1/1/12,1/1/12,1/1/12
1/25/12,1/1/12,1/1/12,1/1/12
1/26/12,1/1/12,1/1/12,1/1/12
1/27/12,1/1/12,1/1/12,1/1/12
1/28/12,1/1/12,1/1/12,1/1/12
1/29/12,1/1/12,1/1/12,1/1/12
1/30/12,1/1/12,1/1/12,1/1/12
1/31/12,1/1/12,1/1/12,1/1/12
2/1/12,1/1/12,1/1/12,2/1/12
2/2/12,1/1/12,1/1/12,2/1/12
2/3/12,1/1/12,1/1/12,2/1/12
2/4/12,1/1/12,1/1/12,2/1/12
2/5/12,1/1/12,1/1/12,2/1/12
2/6/12,1/1/12,1/1/12,2/1/12
2/7/12,1/1/12,1/1/12,2/1/12
2/8/12,1/1/12,1/1/12,2/1/12
2/9/12,1/1/12,1/1/12,2/1/12
2/10/12,1/1/12,1/1/12,2/1/12
2/11/12,1/1/12,1/1/12,2/1/12
2/12/12,1/1/12,1/1/12,2/1/12
2/13/12,1/1/12,1/1/12,2/1/12
2/14/12,1/1/12,1/1/12,2/1/12
2/15/12,1/1/12,1/1/12,2/1/12
2/16/12,1/1/12,1/1/12,2/1/12
2/17/12,1/1/12,1/1/12,2/1/12
2/18/12,1/1/12,1/1/12,2/1/12
2/19/12,1/1/12,1/1/12,2/1/12
2/20/12,1/1/12,1/1/12,2/1/12
2/21/12,1/1/12,1/1/12,2/1/12
2/22/12,1/1/12,1/1/12,2/1/12
2/23/12,1/1/12,1/1/12,2/1/12
2/24/12,1/1/12,1/1/12,2/1/12
2/25/12,1/1/12,1/1/12,2/1/12
2/26/12,1/1/12,1/1/12,2/1/12
2/27/12,1/1/12,1/1/12,2/1/12
2/28/12,1/1/12,1/1/12,2/1/12
2/29/12,1/1/12,1/1/12,2/1/12
3/1/12,1/1/12,1/1/12,3/1/12
3/2/12,1/1/12,1/1/12,3/1/12
3/3/12,1/1/12,1/1/12,3/1/12
3/4/12,1/1/12,1/1/12,3/1/12
3/5/12,1/1/12,1/1/12,3/1/12
3/6/12,1/1/12,1/1/12,3/1/12
3/7/12,1/1/12,1/1/12,3/1/12
3/8/12,1/1/12,1/1/12,3/1/12
3/9/12,1/1/12,1/1/12,3/1/12
3/10/12,1/1/12,1/1/12,3/1/12
3/11/12,1/1/12,1/1/12,3/1/12
3/12/12,1/1/12,1/1/12,3/1/12
3/13/12,1/1/12,1/1/12,3/1/12
3/14/12,1/1/12,1/1/12,3/1/12
3/15/12,1/1/12,1/1/12,3/1/12
3/16/12,1/1/12,1/1/12,3/1/12
3/17/12,1/1/12,1/1/12,3/1/12
3/18/12,1/1/12,1/1/12,3/1/12
3/19/12,1/1/12,1/1/12,3/1/12
3/20/12,1/1/12,1/1/12,3/1/12
3/21/12,1/1/12,1/1/12,3/1/12
3/22/12,1/1/12,1/1/12,3/1/12
3/23/12,1/1/12,1/1/12,3/1/12
3/24/12,1/1/12,1/1/12,3/1/12
3/25/12,1/1/12,1/1/12,3/1/12
3/26/12,1/1/12,1/1/12,3/1/12
3/27/12,1/1/12,1/1/12,3/1/12
3/28/12,1/1/12,1/1/12,3/1/12
3/29/12,1/1/12,1/1/12,3/1/12
3/30/12,1/1/12,1/1/12,3/1/12
3/31/12,1/1/12,1/1/12,3/1/12
4/1/12,1/1/12,4/1/12,4/1/12
4/2/12,1/1/12,4/1/12,4/1/12
4/3/12,1/1/12,4/1/12,4/1/12
4/4/12,1/1/12,4/1/12,4/1/12
4/5/12,1/1/12,4/1/12,4/1/12
4/6/12,1/1/12,4/1/12,4/1/12
4/7/12,1/1/12,4/1/12,4/1/12
4/8/12,1/1/12,4/1/12,4/1/12
4/9/12,1/1/12,4/1/12,4/1/12
4/10/12,1/1/12,4/1/12,4/1/12
4/11/12,1/1/12,4/1/12,4/1/12
4/12/12,1/1/12,4/1/12,4/1/12
4/13/12,1/1/12,4/1/12,4/1/12
4/14/12,1/1/12,4/1/12,4/1/12
4/15/12,1/1/12,4/1/12,4/1/12
4/16/12,1/1/12,4/1/12,4/1/12
4/17/12,1/1/12,4/1/12,4/1/12
4/18/12,1/1/12,4/1/12,4/1/12
4/19/12,1/1/12,4/1/12,4/1/12
4/20/12,1/1/12,4/1/12,4/1/12
4/21/12,1/1/12,4/1/12,4/1/12
4/22/12,1/1/12,4/1/12,4/1/12
4/23/12,1/1/12,4/1/12,4/1/12
4/24/12,1/1/12,4/1/12,4/1/12
4/25/12,1/1/12,4/1/12,4/1/12
4/26/12,1/1/12,4/1/12,4/1/12
4/27/12,1/1/12,4/1/12,4/1/12
4/28/12,1/1/12,4/1/12,4/1/12
4/29/12,1/1/12,4/1/12,4/1/12
4/30/12,1/1/12,4/1/12,4/1/12
5/1/12,1/1/12,4/1/12,5/1/12
5/2/12,1/1/12,4/1/12,5/1/12
5/3/12,1/1/12,4/1/12,5/1/12
5/4/12,1/1/12,4/1/12,5/1/12
5/5/12,1/1/12,4/1/12,5/1/12
5/6/12,1/1/12,4/1/12,5/1/12
5/7/12,1/1/12,4/1/12,5/1/12
5/8/12,1/1/12,4/1/12,5/1/12
5/9/12,1/1/12,4/1/12,5/1/12
5/10/12,1/1/12,4/1/12,5/1/12
5/11/12,1/1/12,4/1/12,5/1/12
5/12/12,1/1/12,4/1/12,5/1/12
5/13/12,1/1/12,4/1/12,5/1/12
5/14/12,1/1/12,4/1/12,5/1/12
5/15/12,1/1/12,4/1/12,5/1/12
5/16/12,1/1/12,4/1/12,5/1/12
5/17/12,1/1/12,4/1/12,5/1/12
5/18/12,1/1/12,4/1/12,5/1/12
5/19/12,1/1/12,4/1/12,5/1/12
5/20/12,1/1/12,4/1/12,5/1/12
5/21/12,1/1/12,4/1/12,5/1/12
5/22/12,1/1/12,4/1/12,5/1/12
5/23/12,1/1/12,4/1/12,5/1/12
5/24/12,1/1/12,4/1/12,5/1/12
5/25/12,1/1/12,4/1/12,5/1/12
5/26/12,1/1/12,4/1/12,5/1/12
5/27/12,1/1/12,4/1/12,5/1/12
5/28/12,1/1/12,4/1/12,5/1/12
5/29/12,1/1/12,4/1/12,5/1/12
5/30/12,1/1/12,4/1/12,5/1/12
5/31/12,1/1/12,4/1/12,5/1/12
6/1/12,1/1/12,4/1/12,6/1/12
6/2/12,1/1/12,4/1/12,6/1/12
6/3/12,1/1/12,4/1/12,6/1/12
6/4/12,1/1/12,4/1/12,6/1/12
6/5/12,1/1/12,4/1/12,6/1/12
6/6/12,1/1/12,4/1/12,6/1/12
6/7/12,1/1/12,4/1/12,6/1/12
6/8/12,1/1/12,4/1/12,6/1/12
6/9/12,1/1/12,4/1/12,6/1/12
6/10/12,1/1/12,4/1/12,6/1/12
6/11/12,1/1/12,4/1/12,6/1/12
6/12/12,1/1/12,4/1/12,6/1/12
6/13/12,1/1/12,4/1/12,6/1/12
6/14/12,1/1/12,4/1/12,6/1/12
6/15/12,1/1/12,4/1/12,6/1/12
6/16/12,1/1/12,4/1/12,6/1/12
6/17/12,1/1/12,4/1/12,6/1/12
6/18/12,1/1/12,4/1/12,6/1/12
6/19/12,1/1/12,4/1/12,6/1/12
6/20/12,1/1/12,4/1/12,6/1/12
6/21/12,1/1/12,4/1/12,6/1/12
6/22/12,1/1/12,4/1/12,6/1/12
6/23/12,1/1/12,4/1/12,6/1/12
6/24/12,1/1/12,4/1/12,6/1/12
6/25/12,1/1/12,4/1/12,6/1/12
6/26/12,1/1/12,4/1/12,6/1/12
6/27/12,1/1/12,4/1/12,6/1/12
6/28/12,1/1/12,4/1/12,6/1/12
6/29/12,1/1/12,4/1/12,6/1/12
6/30/12,1/1/12,4/1/12,6/1/12
7/1/12,1/1/12,7/1/12,7/1/12
7/2/12,1/1/12,7/1/12,7/1/12
7/3/12,1/1/12,7/1/12,7/1/12
7/4/12,1/1/12,7/1/12,7/1/12
7/5/12,1/1/12,7/1/12,7/1/12
7/6/12,1/1/12,7/1/12,7/1/12
7/7/12,1/1/12,7/1/12,7/1/12
7/8/12,1/1/12,7/1/12,7/1/12
7/9/12,1/1/12,7/1/12,7/1/12
7/10/12,1/1/12,7/1/12,7/1/12
